,,2006-2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,
      75-84 years,United States,1,0,0,0,0.5,0,0,0,1.2,0,0,0,0.9,0,0,0,0.9,0,0,0,0.8,0,0,0,0.5,0,0,0,0.5,0,0,0,0.8,,,,0.6,,,
      85 years and over,United States,0.6,0,0,0,0.3,0,0,0,0.4,0,0,0,1.1,0,0,0,0.8,0,0,0,0.5,0,0,0,0.2,0,0,0,0.5,0,0,0,0.8,,,,0.6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foodborne Diseases Active Surveillance Network (FoodNet), CDC/NCEZID
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
† Target is not applicable for this population group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
§ This population group is not age adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSU: Data do not meet the criteria for statistical reliability, data quality, or confidentiality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNC: Data for specific population not collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI: 95% confidence interval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are subject to revision and may have changed since a previous release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unless noted otherwise, any age-adjusted data are adjusted using the year 2000 standard population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are not available or not collected for populations not shown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
