Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2009,3,Tennessee,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,9,0,9,0,9,"oysters, raw",oysters,Mollusks,,,,,
2009,3,New York,Food,Shigella sonnei,,Confirmed,Restaurant - Sit-down dining,96,0,96,0,96,multiple foods,lemon; lime,Fruits,,,,,
2009,1,Massachusetts,Food,Salmonella enterica,Braenderup,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2009,1,Massachusetts,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3,2,3,0,3,"ground beef, hamburger",,Beef,,,,,
2009,1,Massachusetts,Food,,,,Banquet Facility (food prepared and served on-site),32,0,32,0,32,salads; tomatoes; vegetables,,Multiple,,,,,
2009,1,Michigan,Food,,,,Restaurant - other or unknown type,15,0,9,0,9,"burrito, chicken",,Multiple,,,,,
2009,2,New York,Food,Norovirus unknown,,Confirmed,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),24,0,24,0,24,lettuce,lettuce,Vegetable Row Crops,,,,,
2009,2,Massachusetts,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,,2,0,1,0,2,,,,,,,,
2009,1,Tennessee,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,22,4,22,0,22,"oysters, raw",,Mollusks,,,,,
2009,1,Tennessee,Food,Norovirus Genogroup I,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0,6,0,6,,,,,,,,
2009,1,New York,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,"ground beef, other",beef,Beef,,,,,
2009,1,Florida,Food,Norovirus Genogroup I,,Confirmed,Restaurant - other or unknown type,24,0,24,0,24,"sandwich, wrap; sandwich, wrap",,Multiple,,,,,
2009,2,New York,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,51,1,51,0,51,"ground beef, gravy, toast, egg dish",,Multiple,,,,,
2009,2,New York,Food,,,,Restaurant - Sit-down dining,9,1,9,0,9,,,,,,,,
2009,2,New York,Food,,,,Restaurant - Sit-down dining,12,0,12,0,12,,,,,,,,
2009,1,Florida,Food,,,,Restaurant - Sit-down dining,15,0,15,0,15,macaroni salad,,Multiple,,,,,
2009,2,Florida,Food,Norovirus Genogroup II,,Confirmed,Long-term care/nursing home/assisted living facility,13,2,13,0,13,"cookies, unspecified",,Multiple,,,,,
2009,3,New York,Food,Staphylococcus aureus,,Confirmed,Private home/residence,20,0,20,0,20,chicken yak,,Multiple,,,,,
2009,2,Wyoming,Food,Norovirus Genogroup II,,Confirmed,,13,0,13,0,13,,,,,,,,
2009,3,Illinois,Food,Norovirus,,Confirmed,Private home/residence; Caterer (food prepared off-site from where served); School/college/university,189,1,70,0,70,"ice; lemonade, unspecified",,Multiple,,,,,
2009,3,Illinois,Food,Salmonella enterica,Typhimurium,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2009,3,Illinois,Food,Campylobacter jejuni; Listeria monocytogenes,,Confirmed; Confirmed,Private home/residence,6,1,6,0,6,,,,,,,,
2009,3,Illinois,Food,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,27,0,27,0,27,,,,,,,,
2009,4,Illinois,Food,Clostridium perfringens,,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),24,0,24,0,24,"spaghetti, unspecified",,Multiple,,,,,
2009,3,Illinois,Food,Salmonella enterica,Enteritidis,Confirmed,Grocery store,5,0,5,0,5,,,,,,,,
2009,2,Massachusetts,Food,,,,Restaurant - Sit-down dining,9,0,9,0,9,,,,,,,,
2009,3,Michigan,Food,,,,Restaurant - Sit-down dining,14,1,14,0,14,salads,chicken,Chicken,,,,,
2009,3,Ohio,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,"cheese; deli meat, sliced turkey","deli meat, sliced turkey",Turkey,,,,,
2009,1,Michigan,Food,,,,Restaurant - other or unknown type,18,0,18,0,18,turkey,,Turkey,,,,,
2009,1,Wisconsin,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,16,0,16,0,16,fruit,,Fruits,,,,,
2009,1,Wisconsin,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2009,2,Wisconsin,Food,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,90,0,90,0,90,"beef, brisket",,Beef,,,,,
2009,3,Ohio,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Banquet Facility (food prepared and served on-site),20,0,19,0,20,,,,,,,,
2009,3,Florida,Food,,,,,5,1,5,0,5,,,,,,,,
2009,1,New Hampshire,Food,Norovirus Genogroup II,,Suspected,Office/indoor workplace,11,0,11,0,11,fruit-based salads,,Multiple,,,,,
2009,3,Arkansas,Food,Salmonella enterica,Typhimurium,Confirmed,,5,3,5,0,5,,,,,,,,
2009,2,Missouri,Food,,,,Restaurant - Sit-down dining,17,0,17,0,17,"cake, tiramisu",,Multiple,,,,,
2009,3,Idaho,Food,Clostridium perfringens,,Confirmed,Private home/residence,8,0,8,0,8,"chicken, other",,Chicken,,,,,
2009,4,Minnesota,Food,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",15,0,15,0,15,"sandwich, unspecified",,Multiple,,,,,
2009,4,Ohio,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2009,4,Ohio,Food,,,,,2,0,2,0,2,,,,,,,,
2009,3,Wisconsin,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,23,0,23,0,23,,,,,,,,
2009,3,Florida,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,ice; chicken,,Multiple,,,,,
2009,3,Michigan,Food,,,,Restaurant - other or unknown type,12,0,12,0,12,,,,,,,,
2009,3,Michigan,Food,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site),131,2,131,0,131,"salad, unspecified",,Multiple,,,,,
2009,3,Michigan,Food,,,,Restaurant - other or unknown type,9,,,0,9,,,,,,,,
2009,4,Ohio,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2009,2,Ohio,Food,Norovirus Genogroup I,,Confirmed,Caterer (food prepared off-site from where served),70,1,48,0,70,egg salad/egg salad sandwich,,Multiple,,,,,
2009,1,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,21,0,21,0,21,ice,,Other,,,,,
2009,1,Connecticut,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),7,2,7,0,7,"lasagna, vegetarian",,Multiple,,,,,
2009,2,Connecticut,Food,Salmonella enterica,Typhimurium,Confirmed,"Restaurant - other or unknown type; Private home/residence; Fair, festival, other temp or mobile services",4,1,4,0,4,,,,,,,,
2009,1,California,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,bun,,Multiple,,,,,
2009,4,Illinois,Food,,,,Restaurant - other or unknown type,2,0,2,0,2,,,,,,,,
2009,4,Minnesota,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,,
2009,1,Missouri,Food,,,,Banquet Facility (food prepared and served on-site),40,0,40,0,40,,,,,,,,
2009,4,New York,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,13,4,13,0,13,"lamb, chops",,Other Meat,,,,,
2009,3,New York,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,"ribs, pork",pork,Pork,,,,,
2009,3,Oklahoma,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,25,4,25,0,25,,,,,,,,
2009,4,Ohio,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",10,0,10,0,10,,,,,,,,
2009,3,Alabama,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,35,0,35,0,35,,,,,,,,
2009,2,Wisconsin,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),16,0,16,0,16,cake,,Multiple,,,,,
2009,1,South Carolina,Food,,,,Caterer (food prepared off-site from where served),14,0,14,0,14,,,,,,,,
2009,1,South Carolina,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2009,4,Illinois,Food,,,,Restaurant - other or unknown type,3,1,3,0,3,,,,,,,,
2009,4,Illinois,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,4,1,4,0,4,,,,,,,,
2009,1,California,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2009,4,Ohio,Food,,,,Other,3,0,3,0,3,"sandwich, steak",,Multiple,,,,,
2009,3,Oregon,Food,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",12,,12,0,12,,,,,,,,
2009,3,Oregon,Food,Norovirus Genogroup II,,Confirmed,School/college/university,49,0,49,0,49,,,,,,,,
2009,4,Hawaii,Food,Histamine,,Confirmed,Prison/jail,13,0,13,0,13,"fish, ahi","fish, ahi",Fish,,,,,
2009,3,Connecticut,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Office/indoor workplace,60,5,60,0,60,chicken tenders,,Multiple,,,,,
2009,4,Illinois,Food,Norovirus,,Suspected,Office/indoor workplace,11,0,11,0,11,,,,,,,,
2009,5,Ohio,Food,Clostridium perfringens,,Confirmed,Private home/residence,23,0,16,0,16,chicken,,Chicken,,,,,
2009,4,Minnesota,Food,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",17,0,17,0,17,,,,,,,,
2009,4,Ohio,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,3,2,3,0,3,"ground beef, cheeseburger",,Beef,,,,,
2009,2,Mississippi,Food,Norovirus unknown; Staphylococcus unknown,,Confirmed; Confirmed,Prison/jail,66,0,66,0,66,cabbage; ice,,Multiple,,,,,
2009,2,Mississippi,Food,Salmonella enterica,Enteritidis,Confirmed,Prison/jail,184,3,184,0,184,,,,,,,,
2009,4,Iowa,Food,Norovirus Genogroup II,,Confirmed,,27,1,27,0,27,lettuce based salads,,Multiple,,,,,
2009,4,Oregon,Food,,,,Restaurant - Sit-down dining,11,0,11,0,11,,,,,,,,
2009,4,Connecticut,Food,,,,Private home/residence,5,1,5,0,5,asparagus; horseradish,,Multiple,,,,,
2009,4,Connecticut,Food,Bacillus cereus,,Confirmed,School/college/university; Other,47,0,47,0,47,macaroni and cheese,,Multiple,,,,,
2009,5,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,13,0,13,0,13,filet mignon appetizer,,Beef,,,,,
2009,4,Wisconsin,Food,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,8,0,8,0,8,,,,,,,,
2009,1,California,Food,Norovirus unknown,,Suspected,,10,0,10,0,10,,,,,,,,
2009,3,New York,Food,Salmonella enterica,Saintpaul,Confirmed,Unknown,3,0,3,0,3,,,,,,,,
2009,4,Wisconsin,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,14,2,14,0,14,deviled eggs,,Multiple,,,,,
2009,2,Florida,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,1,3,0,3,"salad, unspecified",,Multiple,,,,,
2009,4,Pennsylvania,Food,,,,,5,0,5,0,5,,,,,,,,
2009,2,Florida,Food,Norovirus,,Confirmed,Banquet Facility (food prepared and served on-site),30,0,30,0,30,vinagarette-based dressing,,Multiple,,,,,
2009,5,Pennsylvania,Food,Campylobacter jejuni,,Confirmed,Private home/residence,2,0,2,0,2,"milk, whole milk unpasteurized",,Dairy,,,,,
2009,5,Illinois,Food,,,,Caterer (food prepared off-site from where served),5,0,5,0,5,,,,,,,,
2009,5,Illinois,Food,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),39,0,39,0,39,,,,,,,,
2009,5,Illinois,Food,Norovirus Genogroup I,,Suspected,Private home/residence,32,0,18,0,18,,,,,,,,
2009,5,Illinois,Food,,,,Restaurant - other or unknown type,18,0,18,0,18,,,,,,,,
2009,1,California,Food,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,,
2009,1,California,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,7,0,7,0,7,,,,,,,,
2009,2,California,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,spring roll,,Multiple,,,,,
2009,5,Ohio,Food,Mycotoxins,,Confirmed,,2,0,2,0,2,candy,,Oils-Sugars,,,,,
2009,2,California,Food,Norovirus unknown,,Suspected,,9,0,9,0,9,,,,,,,,
2009,2,California,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,3,0,3,,,,,,,,
2009,2,California,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2009,3,California,Food,,,,,31,0,21,0,21,,,,,,,,
2009,3,California,Food,Bacillus cereus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",7,0,7,0,7,bean dishes,,Multiple,,,,,
2009,4,California,Food,Other - Bacterium,,Suspected,,7,0,7,0,7,,,,,,,,
2009,4,California,Food,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",9,0,9,0,9,,,,,,,,
2009,5,Ohio,Food,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Restaurant - Sit-down dining,15,0,15,0,15,,,,,,,,
2009,5,New York,Food,Bacillus cereus,,Suspected,Banquet Facility (food prepared and served on-site),20,1,20,0,20,"chicken, chimichanga",chicken,Chicken,,,,,
2009,5,Virginia,Food,Staphylococcus aureus,,Confirmed,Private home/residence; Religious facility,19,0,19,0,19,egg salad/egg salad sandwich,,Multiple,,,,,
2009,5,South Carolina,Food,Clostridium perfringens,,Confirmed,Private home/residence,350,0,40,0,40,"beans, baked",,Multiple,,,,,
2009,1,South Carolina,Food,Norovirus Genogroup II,,Confirmed,,13,0,13,0,13,,,,,,,,
2009,5,Arizona,Food,Enterococcus faecalis,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",13,0,11,0,11,"sandwich, submarine",,Multiple,,,,,
2009,5,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2009,6,Virginia,Food,Staphylococcus aureus,,Suspected,Other,12,0,12,0,12,"chicken, strips",,Multiple,,,,,
2009,1,Wisconsin,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,62,1,62,0,62,,,,,,,,
2009,6,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,4,0,4,0,4,potato salad,,Multiple,,,,,
2009,5,Wisconsin,Food,,,,,49,,,,,,,,,,,,
2009,6,Ohio,Food,Campylobacter unknown,,Suspected,Restaurant - Sit-down dining,2,1,2,0,2,,,,,,,,
2009,5,California,Food,Norovirus unknown,,Suspected,Private home/residence,26,0,26,0,26,cactus salad; multiple foods,,Multiple,,,,,
2009,6,Maryland,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,chicken fried rice,,Multiple,,,,,
2009,5,Wisconsin,Food,"Escherichia coli, Enterotoxigenic",,Confirmed,,8,0,8,0,8,,,,,,,,
2009,1,Maryland,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,12,0,12,0,12,,,,,,,,
2009,4,Massachusetts,Food,Salmonella enterica,Typhimurium,Confirmed,Private home/residence,50,,,0,9,,,,,,,,
2009,1,Maryland,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,13,0,13,0,13,,,,,,,,
2009,4,California,Food,Norovirus unknown,,Confirmed,,18,0,0,0,0,"egg-containing food, other",,Multiple,,,,,
2009,5,Minnesota,Food,Norovirus,,Suspected,Private home/residence,11,0,11,0,11,potato salad,,Multiple,,,,,
2009,4,Maryland,Food,,,,,7,0,6,0,7,,,,,,,,
2009,4,Virginia,Food,Brucella unknown,,Confirmed,Other,4,1,4,0,4,goat cheese; cow cheese,,Dairy,,,,,
2009,6,Tennessee,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,11,0,11,0,11,cheese dip,,Multiple,,,,,
2009,4,Kansas,Food,,,,Restaurant - Sit-down dining,4,0,2,0,4,pork,pork,Pork,,,,,
2009,6,Illinois,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2009,6,Illinois,Food,,,,Restaurant - Sit-down dining,2,0,0,0,2,,,,,,,,
2009,6,Illinois,Food,Norovirus Genogroup I,,Suspected,Other,25,1,25,0,25,,,,,,,,
2009,6,Illinois,Food,,,,Restaurant - other or unknown type,3,0,3,0,3,,,,,,,,
2009,6,Illinois,Food,,,,Caterer (food prepared off-site from where served),43,0,35,0,43,,,,,,,,
2009,6,Illinois,Food,,,,Caterer (food prepared off-site from where served),35,0,35,0,35,roast beef,,Beef,,,,,
2009,6,New York,Food,Campylobacter jejuni,,Confirmed,Other,9,0,9,0,9,,,,,,,,
2009,5,Colorado,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2009,2,Washington,Food,Norovirus,,Suspected,,13,3,13,0,13,"salad, unspecified",,Multiple,,,,,
2009,3,Ohio,Food,Norovirus Genogroup II,,Confirmed,,19,0,19,0,19,,,,,,,,
2009,2,Ohio,Food,Norovirus Genogroup II,,Suspected,Other,5,0,5,0,5,salad bar; pasta salad with tuna and mayonnaise,,Multiple,,,,,
2009,6,Connecticut,Food,Bacillus cereus,,Confirmed,Caterer (food prepared off-site from where served),100,0,20,0,20,macaroni and cheese,,Multiple,,,,,
2009,6,Connecticut,Food,Norovirus,,Suspected,Other,10,0,10,0,10,"orange juice, pasteurized",,Fruits,,,,,
2009,6,Connecticut,Food,Scombroid toxin,,Confirmed,Private home/residence,2,0,2,0,2,tuna steak,tuna steak,Fish,,,,,
2009,6,Massachusetts,Food,Campylobacter jejuni,,Confirmed,,70,2,15,0,70,,,,,,,,
2009,6,Minnesota,Food,Clostridium perfringens,,Confirmed,Private home/residence; Caterer (food prepared off-site from where served),18,0,18,0,18,"roast beef, unspecified",,Beef,,,,,
2009,6,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,2,1,2,0,2,steak,,Beef,,,,,
2009,2,Georgia,Food,Norovirus Genogroup II,,Suspected,Banquet Facility (food prepared and served on-site),8,0,8,0,8,,,,,,,,
2009,5,New York,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,19,2,19,0,19,malai kofta,,Multiple,,,,,
2009,6,Missouri,Food,,,,Restaurant - Sit-down dining,11,0,11,0,11,,,,,,,,
2009,5,Missouri,Food,Salmonella enterica,Oranienburg,Confirmed,Private home/residence,5,1,5,0,5,,,,,,,,
2009,5,California,Food,Norovirus unknown,,Suspected,Restaurant - other or unknown type,10,0,10,0,10,,,,,,,,
2009,4,California,Food,Other - Chemical/Toxin,,Confirmed,"Fair, festival, other temp or mobile services",6,0,6,0,6,"cake, brownie",,Multiple,,,,,
2009,1,Ohio,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2009,6,New Mexico,Food,Salmonella enterica,Enteritidis,Confirmed,,3,0,3,0,3,,,,,,,,
2009,2,Ohio,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2009,1,Ohio,Food,,,,Restaurant - other or unknown type,2,0,2,0,2,,,,,,,,
2009,6,Ohio,Food,,,,Unknown,15,0,15,0,15,,,,,,,,
2009,6,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Caterer (food prepared off-site from where served); Grocery store,16,3,16,0,16,,,,,,,,
2009,1,Ohio,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2009,6,Ohio,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Private home/residence,2,2,2,0,2,"ground beef, hamburger",,Beef,,,,,
2009,3,Ohio,Food,,,,Restaurant - Sit-down dining,4,2,4,0,4,"pizza, meat; pizza, meat; cheesy bread stick",,Multiple,,,,,
2009,5,Florida,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,30,0,28,0,28,,,,,,,,
2009,1,Florida,Food,Norovirus Genogroup II,,Confirmed,,24,0,24,0,24,,,,,,,,
2009,5,Oklahoma,Food,Staphylococcus aureus,,Confirmed,,39,0,39,0,39,chicken salad,,Multiple,,,,,
2009,6,Tennessee,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0,6,0,6,"sandwich, roast beef",,Multiple,,,,,
2009,1,Ohio,Food,Norovirus Genogroup II,GII.12,Confirmed,Caterer (food prepared off-site from where served),22,0,22,0,22,"sandwich, deli",,Multiple,,,,,
2009,5,California,Food,Norovirus,,Confirmed,,14,0,14,0,14,,,,,,,,
2009,5,California,Food,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2009,5,California,Food,,,,Restaurant - other or unknown type,21,0,21,0,21,,,,,,,,
2009,1,Florida,Food,Ciguatoxin,,Confirmed,Private home/residence,3,,,,,"fish, baracuda",,Fish,,,,,
2009,1,Florida,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,3,,,,,"squid/calamari, unspecified",,Mollusks,,,,,
2009,7,Missouri,Food,,,,Other,25,0,25,0,25,"onion, unspecified",,Root/Underground,,,,,
2009,3,Ohio,Food,,,,,2,0,2,0,2,,,,,,,,
2009,6,Florida,Food,Ciguatoxin,,Confirmed,Restaurant - Sit-down dining,5,,,,,"fish, grouper",,Fish,,,,,
2009,6,Florida,Food,Ciguatoxin,,Confirmed,Private home/residence,4,,,,,"fish, baracuda",,Fish,,,,,
2009,6,Florida,Food,Ciguatoxin,,Confirmed,Private home/residence,2,,,,,"fish, baracuda",,Fish,,,,,
2009,4,Michigan,Food,,,,Caterer (food prepared off-site from where served),13,0,13,0,13,"chicken, unspecified; macaroni and cheese; turkey dishes","cream sauce; cheese, unspecified",Multiple,,,,,
2009,3,Michigan,Food,,,,,9,,,0,9,,,,,,,,
2009,4,Michigan,Food,,,,Restaurant - other or unknown type,2,,,0,2,,,,,,,,
2009,3,Michigan,Food,,,,Restaurant - other or unknown type,7,0,7,0,7,,,,,,,,
2009,5,California,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,"pudding, unspecified",,Multiple,,,,,
2009,6,Utah,Food,,,,,15,,,0,15,,,,,,,,
2009,3,Utah,Food,Campylobacter jejuni,,Confirmed,Private home/residence,10,0,10,0,10,"queso fresco, unpasteurized",milk,Dairy,,,,,
2009,2,Colorado,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,"flauta, chicken; chile relleno, unspecified; lettuce",,Multiple,,,,,
2009,7,Minnesota,Food,Norovirus,,Confirmed,Other,6,0,6,0,6,"deli meat, sliced turkey",,Turkey,,,,,
2009,7,Minnesota,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,salads,,Multiple,,,,,
2009,6,Illinois,Food,Hepatitis A,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",34,14,34,0,34,,,,,,,,
