tag,text
neu,"This was my third time here and first eating at the bar.  The bar area is awesome, granite table top, good wine selection, lots of comfy seating, and a big bathroom right off of the bar with real towels.  There is enough seating at the bar for about 9 and other bar seating hightops and couches for about 15.  It's an intimate bar.  It also has a seperate entrance than the restaurant fyi, Ziggy is the headbartender and is really good, a true pro, the others like Joe are just 20 somethings figuring it out.  Unfortuantely, Ziggy wasn't at the bar most of the time and I found myself asking for refills instead of being asked, not good.  Most of the folks at the bar are like me, guys in ties by themselves who want better than hotel food.  We ordered three appetizers that were all four star quality, but really pricey.  I ordered the filet on filet, which was a carpaccio and tartare of prime filet, served with a quail egg and a nice garlic aoili (sp?), as good as any in the city.  Steven ordered the lobster mac, which was better than most and you could actually taste chunks of lobster as well as the short rib.  The short rib was cooked perfectly, moist, rich delicious.  These apps were around $13 each which is I guess okay, even though portions are tiny.  However, a big miss on the entrees.  I ordered the elysian fields lamb, which was undercooked, and maybe a 2oz portion (FOR $42!!, WTF!).  It was served with a ice cold puree of something indistinguishable and maybe two baby onions.  This totally could have been just an appetizer portion and not a very good one at that, disappointing.  Steven ordered the filet, which was a reasonable size (4 oz. I'd guess) for $34 with a few potatoes.  It was good, but not memorable.  Overall this place probably deserves 2.5 stars.  I should have stopped after the apps'.  I didn't pay, so I'm not sure if the wine was pricey, but if it was anything like the tiny overpriced entrees' I'm sure it was."
neu,"I gave this restaurant an extra star for the view of the canal. You do the math. I just find it overpriced. The ingredients were fresh and the food was good but even in Vegas I think this restaurant was too full of themselves. When the waiter talks about the restaurant's history more than the food you know you are in trouble.

I had a seafood pasta that was traditional and cooked perfectly, but I could've cooked it perfectly. There was nothing unique about it. The sauce could've been out of a can for all I know. Just didn't stand out. The Chicken parm was good but someone's arm hurts in the kitchen because the chicken was so flat that you almost couldn't tell if it was veal or chicken, I guess this isn't a terrible thing. Just not traditional in my opinion (I also think I make the best chicken parm in the world). Anyways, i give the desserts 5 stars. Their pastry chef is working hard back there and the chocolate and little fancy truffles and whatevers were melt in your mouth delicious. The desserts made the meal enjoyable.

What was not enjoyable, however, was the bill. Way over priced for regular old Italian food! Even for Vegas. The staff was great and they worked there ass off trying to make up for the high price tag."
neu,"Grabbed some tacos on the way to my class today, after work. 2 fish tacos, 1 spicy chicken and 1 tea. Iced tea was disgusting and i told them so, they agreed and actually dumped all of their remaining tea out. I have gotten no apology, but did get a refill with watered down Horchata. 
Tacos were alright. Nothing really to write home about. Just average good taco. Does not qualify for a big deal in my book.
Stop by there or keep driving is totally up to you. If i were in your car i would have said - ""Whatever""."
neu,"The pizza is great!  I can't really say what makes it so good but its really satisfying when you want something more than greasy cardboard with rubber cheese.  Definitely the best pizza downtown.
As for a bar, Map Room is great when you are hanging out with a fun group of friends and just want a place to hang out.  Map Room is almost perfectly lacking in any real atmosphere or personality - its just a good space to hang out with your friends and grab a beer."
neg,"if i was realllllllllllly craving korean food, and this was the onnnnnnnnnnnnly place open, and i was riiiiiiiiiiiiiiight there, i'd eat here again. 
otherwise, i'd pass, and go somewhere else (like, 7th st and bell).

the food isn't atrocious, it's just not THAT great, especially since the prices aren't anything special. it's nice for a quick fix. haven't tried the chinese food, but since the owners are korean, i'd stick with that menu. the sushi is decent, but again... nothing is really that good, although it is on the cheap side."
pos,"YELP REVIEWS IN CANADA, EH?

CN Tower rocks
Its high and provides great views
Gary Carter yeah!"
neu,"To put it simply it is what it is.  If you want the Belagio - go stay there.   There is a reason the hotel is so much cheaper than many of the top vegas hotels.   Personally, when in Vegas, I spend very little time in my room so I would spend my money elsewhere.

Location - The hotel is next to the Tropicana and across the street from the MGM Grand- it is more or less on the strip.

Room - As stated its cheap beach motif.  Lots of light colored wood.   The only real problem I had was that the elevator was pretty dam slow.

My only advice is to NOT stay in the ""Bungalos"" out by the pool.. We started there - but managed to move into the main hotel.

Look if you want a cheap room around th strip this place is a good value."
neg,"J. Alexander's is not normally a place I would frequent, but we had a couple of birthdays to celebrate at work and it is right across the street. So a group of about 10 of us went.
I ordered the steak and fries, the steak rare, and clam chowder. The clam chowder was awesome. My steak came and it was  well done. So, with these prices, I figured I should get what I asked for, so I sent it back. It came back rare alright. The first few bites were cold in the center and then it got to barely warm. Not impressive at all. And honestly, I can cook a better steak than that.
Everyone else loved their meal, though.
The service their is over the top, more than a bit too much. There are people constantly walking by, even standing and staring at your table at some point. Hang on to your plate, because the moment you pause from your meal, someone is there to snatch it. I think maybe they have cameras over the tables and an observation room, ""Iced tea refill, table twelve, repeat, iced tea refill table twelve, over!"" Though the wait staff did not appear to have ear-pieces, you still get the impression these are secret service wanna-be's, ready to dive to save your dropped spoon from hitting the floor.
The menu had a lot of good, but traditional, items on it, steak, salads, burgers, sandwiches, all high-end, fresh, homemade, etc.
Maybe if I had ordered something else my experience might have been totally different. But, even with work picking up the tab, I managed to have a bad free meal."
pos,I love Crate and Barrel.  It's a great place to go to celebrate Spring!.  They have a lot of great outdoor furniture and accessories to get you in the mood for Summer.  I picked up some very nice glassware and some beautiful silver serving plates.  I also fell in love with a couple magnolia branches and a huge pale blue glass vase.  It's nice to breathe a little Spring into my pad!
neu,"I had high hopes for this restaurant.  It was a 30 minute drive from Laveen, as all are the Thai places in the area.  I ordered two of my staples (Tom ka Gai soup and Green Curry) and tried a new dish (for me), Holy Basil.  I got everything takeout.

I'll start with the Holy Basil.  It was very good.  A nice balance of Thai flavors, and I thought it was quite similar to an Ayam Basil dish I used to get at a Malaysian place in Mt. View, CA.  My only complaint was that the chicken was big, thick chunks, like a fajita-style.  I expect delicate, tender meats at a high end Thai place.

I opened my green curry and said: ""WHERE'S THE SAUCE""?  I am VERY upset at the lack of sauce.  There was so little I can't comment on the flavor of the curry.  And, they had 2 different types of green beans in there:  chinese long beans, and American green beans.  The larger Amercian green beans weren't cooked.  That sucked.  The beef was tender enough but the peices were too big.  The one redeeming part of this dish was the fact that they had eggplant in it.  There is something about eggplant in green curry....

The Tom Ka Gai soup was  fantastic.  My only complaint would be the chicken, which again, was large fajita-style slices.   Doesn't make sense to me.

While I was waiting at the bar for my order, I remember looking into the kitchen and wondering how they could possibly prepare everything on the menu in that tiny space.  Now, I think I know:  I suspect they prep all of their meats ahead of time and use the same size/shape/cuts for each dish to save time.  This results in a fajita-style cut of chicken that leaves me less than thrilled.

Overall, the menu is brief and the food is good, but I don't think it's worth a long drive.  I don't expect to return when I could make the same drive to get to Swadee, which was just fabulous.  I gave this place a 3/5 because the Tom Ka Gai soup and Holy Basil were VERY good.  I am however disappointed in the green curry, the  cuts of meat, and by the way they completely ignored my request for Thai spicy; everything was rather mild in my opinion."
neu,"C Moore's is a nice place.  The only ""neighborhood"" bar I know of in Tempe.  Good beer selection and some decent eats.  I'd visit it again."
neu,"I'd never been to Tommy's Burgers when I lived in So. Cal, so my trip there on New Year's Eve was my first experience.

A limited menu, but that's not necessarily a bad thing.  Basically it's a question of just how big you want your chili cheeseburger, because let's face it: you don't go to Tommy's for anything else.

My double cheeseburger combo was around $7.00 - with a large drink!  (Oh, big bonus here - they actually brew real iced tea, none of that syrupy crap.)

My take-away order was ready before I was done fixing my iced tea - everything nicely wrapped up in yellow paper.  Nothing sloppy or greasy about these chili cheeseburgers.

When I got home, I was impressed.  The fries were tasty, and meaty: no skinny, crunchy fries here.  Golden and crisp on the outside, fluffy and light on the inside.

The burger was really tasty too.  The chili is a very thick, meaty concoction with lots of chili flavor, but hardly any spice.  The burgers are served with tomato, onion, pickle and mustard in addition to the chili.  I know it sounds weird, but it works.

The location is a bit hard to get into, but I imagine they'll do a good business from the hospital and nearby offices.

All in all, not the best burger I've ever had, but definately different from anything else here in Vegas, which makes it a welcome addition to the drive-thru listings."
pos,"3 1/2 Stars.

Girl's choice last night.... and we (my sister, my niece Carol, and myself) ended up at the Famous Dave's in Chandler. These Famous Dave's look like every other one... typically bright Orange and Yellow! At night, you must have deficient eyesight if you can't find a Famous Dave's! In the evening, Famous Dave's is just a lighthouse beacon in the middle of a drab mall!

On the menu...

Blue Margarita (** 1/2) made with Blue Curacao - It's disconcerting when the last time you saw your niece she was just drinking Cokes... now it's Blue Margaritas. Must be getting old. In summary... not very toxic. Could have drank this in one gulp and wouldn't have had an effect! Machine mixed and made. Looked cool, though, with an Aquamarine Blue color.

All American BBQ Feast (****) Gimmick is that all this stuff ( Full Slab of St Louis style SpareRibs (*****), Whole BBQ Chicken (*** 1/2), 1/2 lb of Texas Beef Brisket (*****), Famous Fries (*****), 2 Baked Potatoes with all the Fixin's (*****) replaced the Coleslaw and Wilbur Beans, 4 Corn on the Cob (***), 4 Muffin Style Corn Bread (****) ) is served on a bright, shiny, galvanized Garbage Can lid. Some of the items definitely lacking in BBQ flavor.

Hot Fudge Kahlua Brownie (**) Warm, Walnut covered Chocolate Brownie, soaked with Kahlua Liquer and topped with Vanilla Bean Ice Cream, Hot Fudge, and (loads and loads of) Whipped Cream. Ice Cream and Kahlua was no-where to be found!

Total tab: $82.08. Not bad for the amount of food.

Service (****) This is a total generalization... but what the heck! The wait-staff at Famous Dave's is totally opposite from the previous evening's robotic lifeless performance from the wait-staff at Olive Garden ( http://www.yelp.com/biz/olive-garden-italian-restaurant-chandler#hrid:l6HajH2UNtb1EZMTj19Ccg  ). I really don't give a darn if it's just a performance... the attitude that the wait-staff presents will be passed onto the customers... whether bad or good.

Typical of all Famous Dave's you sit at a booth or table covered with Red and White checkered table-cloths. At the front entrance is a display of all the BBQ awards that Famous Dave's BBQ items have won.... mostly in the MidWest. Check out the lead-pipe utilitarian interior design... Cool!

Very colorful and festive atmosphere! Kids or adults with a kid's attitude will love Famous Dave's."
neg,"Place is so grossss total dump, I recently went to tempe for spring training and this place was right next door to our hotel ""comfort inn""  this place is a dump big mistake food is like rubber and greasy not to mention you have to pay sauce??? that is just stupid  not to mention it's cash out, that should of been a red flag for dump.  Gave me an upset stomach"
neu,"OK this is tough... I love martinis.. I love happy hours... but I do hate places that are a ""scene"". My friend, fiance and I ordered 3 martinis. My friend's martini tasted ok, but the waitress sniffed it and said ""hmm that smells funky I don't think that's the pear martini""... it tasted good to us (however, agreed, it didnt' taste like a pear). She returned with a martini that tasted like lemon clorox (how I would imagine it would taste!)... ewww.. nothing like pears... 

Anyways, needless to say at a packed place the service can suffer... and the quality of product... I much prefer the 1/2 price martinis at Hanks !!!"
neg,"Pathetic is one word to describe this hotel. 

The rooms are dingy. 

The elevators are super slow. 

Most of the lights in your room will not work. 

They don't even have Showtime or HBO on your room TV. 

And the entire hotel smells like stale smoke. 

What else should I of expected from a hotel that prides itself on the number of beer pong tables it has? 

And don't get me started about Saturday night at the casino. 

The hotel basically turns into a whos whos of wanna be Las Vegas gangsters. I will give Las Vegas wanna Be's some credit. 

At least they keep their pants up above their ass unlike their California compatriots. 

Yuck!"
neu,"Must take shuttle to rental car building
Location has two counters (you go to first then second)
Service is quick"
pos,"So there I was, at 11 am on a Sunday morning, standing adjacent to the bathroom in a narrow hallway, behind a long line of other prospective patrons...

A long line means either the restaurant is poor at seating, serving and turning over or the food is just that good.  Happily for creme de la creme, it is the latter.  (A small caveat here - I have a soft spot for family owned restaurants).

Orange juice, tea, medium poached eggs and toast with melty butter & jam is my idea of a good breakfast...add in the hash browns and tomatoes and you've got a fan!  My friend had a bespoke omlette that looks huge, but delicious!

The hustle and bustle, the good-humoured family atmosphere and being served by people who love what they do all added to the ambience...I'd go back for sure...I'll try the eggs benny with salmon next!"
neu,"After winning some dinner money from blackjack, I waited 1 hour for this cafeteria style joint.  I strategically positioned myself to eat the value for your money foods since I'm not a big eater. 

Overall, I thought it was pretty ok.  I assume the price was on par with all the other buffets.  Never the less, it was the only buffet I had on this trip."
neu,"well judging from the past reviews on here i had to check this place out and see what it was all about. i will make this quick. 
1. the service was great...we were greeted right away and our server was very nice. 
2. i ordered some honey habanero wings. they were good but there was no ""heat"" in them at all. we still ate them. like i said they were good....i just wish they were spicy. 
3. my son orderd the kids pizza. the pizza was great. of course i always steal bites from his food! did i mention kids eat free there monday thru thurs???? awesome! 
4. i ordered a burger. this burger was great! exactly like i ordered it which seems to be a rare thing here in AZ. people are always cooking burgers to the wrong specs..but this place...well...this place did it right! thank you! 
5. my lady ordered the philly steak sandwich. she seemed to enjoy it. i took a bite as well. it was ok i guess. could use a little more flavor but besides that...it wasn't that bad. 
6. my coors light was cold! gotta love that! 
*ok....so i will definitely go back to this place. it had great atmosphere..the food was good...and the service was great!"
neu,"Went here on my Birthday. Well isn't this an odd little place that will make your health food kick diet smile. Positives- the hummus- I love hummus and this is the best I have had so far. Now that is saying a lot because I love the hummus at Pita Jungle and I never thought I would ever dethrone their dish, but alas I have. Be forewarned it is very garlicky!( Probably why I love it so much!)  I had the shrimp dumplings and shaved turkey sandwich with Sweet Potato Hash( bland) . It was good but nothing to write home about. They have funny non alcoholic drinks with cute names that my friends say are great though I did not have one.( NOjito for no alcohol Mojito-funny!) I would say check it out but be forewarned it is a bit BILTMORE STUFFY for an average Joe or Josephine and it is very expensive. The service was outstanding. At one point I had 5 servers waiting on me at once. Some people do not like that, but I sure do!!"
neu,"SRCC is your parents resort...Solid, but dated.  Touts its AAA 4-Star rating, but you'll be thinking, 'eh, just barely.'

Take my guest room, please (parents generation joke): 
-TWO desks (I have never seen that before).  But how about a couch in place of one???   
-'flo-through' closet (doors at either end).  But, its too cramp to step into.  
-Two bathroom sinks and vanities.  But at the very low height.  One has a stool that is but 2' feet tall--I guess for the lady to sit and apply gobs of make-up.   
-Very few ice machines can require a 5-minute trek

4-Star, but:
-Most interior common areas are intimate.  Not high, cathedral ceilings common in more modern resorts.  The front desk is down right quaint. 
-Room service quits at 11PM.
-On Friday night, SRCC's sole lounge closed around midnght and doesn't open again til 4PM.
-Main pool is simple and square.  Absolutely no vibe. With lounge chairs perfectly aligned in military rows, like troops.  Music?  You don't need no stinking music.  
-Want to order food and drink lounging at the newer, round, Casita Pool?  it takes a phone call and you'll pay room service delivery charges.,,ouch
-Decent health club, but a single TV in its large room and no earplug audio outlets.  And no cleaners to wipe-down equipment!
-A lot of wear-and-tear throughout.  I know the economy is bad and hotels everywhere have cut back.  But, SRCC looks like its delayed maintenance goes back to before this recession hit.

If SRCC didn't make its 4-Star ubiquitous or simply dropped to 3-stars, the shortcomings I cite, wouldn't be really noteworthy.  But, if you want to claim ""a high level of service...and facilities"" you've got to delivery."
pos,"After reading all these great reviews, I decided to take my newly acquired beater car (only need it for a year - fingers crossed that it makes it!) to be inspected. Christina helped me setting up an appointment on the phone and she was super nice! After that, Bogi was my main contact and she was so helpful and informative!! She went over everything that was wrong with the car and then pointed out the most critical things that needed to be fixed right away. I could definitely tell that she understood my situation with not wanting to put a ton of money into an older car, and I know that most other auto repair shops wouldn't have cared about that at all. Bogi takes a very personal approach and that is why she has such great reviews from her customers. I will definitely be taking my hunk of junk back to 180!!!"
neu,"4 Americans on a business trip for the week, we wanted to grab some sushi one night in Toronto and a friend had ordered delivery from here before and was pleased. We went in for dinner and ordered several different sushi rolls and a couple of appetizers. One of the appetizers was rolled up beef and cilantro which was fantastic. Another app was not memorable. I had a miso soup that was decent. Can't remember all the sushi rolls we got exactly but I remember there was a shrimp tempura one, a spicy tuna which was great, a salmon roll and some others. 

The servers working there that evening were all very attractive Japanese women and were quick to refill our drinks and bring us anything we asked for. The restaurant is small, but it was almost full and our food came out fairly quickly. Prices were reasonable. Nothing we had blew me away, but everything we had was good. I'm sure it's not the best place for sushi in Toronto but it was above average and overall a good spot."
neu,"If I have forgotten my lunch (or been too lazy to make one) and need to quickly jump out and get something - I go here.

Prices are cheap and the jerk pork is great.  That could really be their slogan.

This place is always busy and the parking lot can be a bit of a dodge game, but it is worth it.  I recommend the patties, jerk pork and rice and peas. They have burgers, etc on the menu, but I haven't tried those (yet).

Avoid the gravy - it is a bit too salty.  If you want some sauce on your rice (hello - who doesn't?!) ask for the curry sauce.

They also have a little grocery store and in house bakery (haven't tried those yet either)."
neg,"If your looking for great magic/illlusion or if you looking for good cirque, you'll be disappointed.  The illusions were amateuristic and the writing was bad - maybe Criss shouldn't be writing his own  scripts focus on illusions instead.  I would have felt better losing my $150 in th slots than seated in the audience waiting for the show to improve."
neg,"This restaurant goes on my list of top ten worst dining experiences ever.  While, admittedly, we went on a night when they were short-staffed because of several staff emergencies, most of our problems with the place would have occurred even if they had more staff.  

On the positive side, the restaurant is really beautiful inside - very elegant and stylishly decorated.  Charlotte really needs more restaurants like Kalu (at least in strategy).  However, our overall experience was so poor that we would absolutely never return.

Here were some of the reasons why:
1) Kalu is kind of off-the-beaten-path, and not in a good way.  There is no private lot with free parking, but at least they now have valet parking (which I will only use if I have to).  If you prefer to park in a garage near EpiCentre, you will walk a couple of blocks to get there in a not-so-nice area.
2) At Kalu, they bring food out at random.  There's no trying to coordinate items at your table so all parties are at least eating something at the same time.  My husband got his appetizer and two entrees before the other two of us got anything.  That's ridiculous.
3) Food is brought by all of the waiters, but you can forget asking them for anything.  We asked one waiter for some water, and he said we would have to ask our server for that.  What?!
4) Portions are small.  The Pork Shiu Mai was served as three dumplings.  The Ishiyaki Steak was served as two tiny skewers.  The Unagi Sansho (eel sushi) was also a small portion (four pieces, I think).  The Shoyu Truffle Butter rice pot could be shared if you got other items to fill you up.  You really need to order more than you normally do to feel full.  
5) There was nothing spectacular about the food.  I know that Kalu made Esquire's recent top 20 list of US restaurants, but maybe the reviewer ordered the more costly things that we did not.   The only dish we really liked was the truffle butter rice pot, and it was not good enough for us to want to return.  
6) The prices are high for the portion sizes.  Yes, I know, we Americans expect big portions, but I'd at least like to feel full after eating an appetizer and an entree. I did not.  Our friend was not so lucky.  He NEVER GOT his main entree, so he just told the waitress to forget it so we could leave.  

I know the staff were frazzled because our waitress kept apologizing, but she never really checked to see how we were doing.  It literally took 20 minutes from placing our drink order to actually get our drinks.  (The food started arriving before we got our drinks.)  The executive chef brought out one of our items and our friend kindly asked if they were having a bad day.  He mentioned the emergencies bit, but he failed to apologize for the experience. That would have gone a long way in our book.  Overall, the staff (including the executive chef) need a refresher course in providing good service if they want any customers to return.  And the menu, well, just go there expecting to pay a bundle and make sure you order enough to at least go home full."
