"Label","text"
"neutral","Was treated by my sister and bro-in-law to an outing here recently.  I was really looking forward to it, which if you read enough of my reviews I have huge issues fulfilling the prophecy.

The setting is beautiful.  Really.  6 or 7 stars worthy.

Service -- waiter was awesome, personable but not annoying.  Check-in, bartender, all excellent.  I don't think my water glass dipped below an inch all night.  The only slightly off thing was the bus boy (bus man?) trying to collect about 10 plates at the end of our meal, on a single trip, one plate stacked on top of the other.  I decided that he is secretly part of the circus and famous for carrying 20 plates at once. Great for the circus, slightly odd for a restaurant at this price point.

Our dinner party sat down for dinner about 8:15 pm.  Five people, apps, entree and a couple shared deserts, pacing was pefect but at 10:15 pm it was us and another table.  Is this odd?  Is this really an early bird special- type place? I don't know.  Why am I mentioning this?  Not sure.

I had the crab cake appetizer, very good, but served with a dollop of guacamole on top.  The guac was delicious but I just thought it was an odd combination.  I feel like an asshole.  

For the entree I had the veal wrapped in proscuitto, cooked medium rare as recommended by the chef.  The outside sear on the meat was perfect.  Really.  I felt like I finally understand what celebrity chefs are talking about on the food network when they mention a ""perfect sear"".  However, the rest of the meat, eh.  Felt like I was chewing rubber bands.  I feared that I might knock my plate off the table trying to cut it.  I don't eat veal often (read: maybe once before if that).  Considering there are starving children in Africa -- hell, right down the street, I feel like an asshole for complaining about a $35 undercooked?  overcooked?  incorrectly cooked? cut of veal.  

I could see myself returning for brunch on a special occasion but I'm not sure I would agree with some of the other raves here on Yelp."
"neutral","A very small restaurant but tasty food. The sauces and marinades are delicious! The chicken is a little dry. The Peri peri fries are so good! A little bit on the expensive side but you're getting fresh, hearty food."
"neutral","Ok, like, Bally's has some misleading signs.  They were advertising 'happy hour' at the pool from 4-8...which included 1/2 priced drinks.  Too bad the bartender looked at me like I was crazy when I asked him about it!  I think he felt sorry for us and just hooked up the deal anyway.  Drinks here are $12!  Totally NOT worth the full price, but if you're lucky enough to score the 1/2 priced deals, THEN it's a pretty good special!  

The pool was surprisingly empty around 5 on the Sunday before Labor Day!  Where was everyone?  Hmmm.  They have private cabanas you can rent, which was really nice and very Miami-esque.  The music, though, I could kinda do without.  Too much house/techno for that early in the day.  More hip-hop please."
"neutral","Mediocre cheesesteaks.  Nothing much else to say.  Bleh.  I've had better cheesesteaks at airports around the country.  I'm sure people only eat here because of the location."
"positive","I had a blast here. It's huge and gorgeous. Very expensive but you get what you pay for. Next time I head to Vegas I'm totally coming back here. The confetti cannons are cool and light effects. Seriously, such a great time to be had here."
"positive","I can't say enough good things about this place. My most recent stay here was this weekend, but I have been a long time patron of this hotel/casino for years. 

First, let's start with the rooms. The rooms! My goodness! The best way I can describe them are that they are comfortable and clean, which in my opinion are the two most important traits that any hotel room must have and Monte Carlo hits them both. The standard deluxe room is just that...standard. But that's okay because you don't come to Las Vegas just to stay in your room all day, you go out and have a great time! It's functional with the most basic and necessary amenities you need in a room: a bathroom, a comfortable bed, TV and closet space. Any more than that is just extra icing (again nothing wrong with that). 

The check-in process was relatively easy. For such a long line at 5:30 PM I didn't have to wait long. Most of the desks are were open and I was in the line less than 15 minutes and checked in and on my way to my room in less than 5 minutes. 

Monte Carlo also boasts a number of eating establishments that range from fast food to first class dining. The fast-food places are conveniently located right by the elevators and if you're in the mood for a higher end dining experience, Monte Carlo offers that as well. 

One of the main reasons I stay here is because I very much enjoy playing at the Monte Carlo. They have many of the newest slot machines and some of my old time favorites. The table games are exciting and welcoming. The dealers are first rate and are friendly. They are professional and personable and will take the time to answer question about the nuances of the game should you have one. 

Monte Carlo Hotel and Casino is and will always be my go to hotel when I come to Las Vegas. The location is great, the rooms are clean and comfortable and the employees who work here are the best. You can have your modern (and in my opinion) sterile new fancy hotel rooms. I'll stay at Monte Carlo and enjoy it's charm. 

Till next Yelp!"
"positive","It's all about the value and taste with this Vegas affordable eatery!   Large 16'' pie with meatball feeding my family of four for $20.   That's $5 a piece for feeding all of my family ... Not 4 burgers for $71 plus tax and drinks and fries etc.   Vegas will reach into your pockets for everything and anything you want when it comes to separating you from your money.  Finding a place like this that will feed a family of four for 20 bucks is a rare treat in this city!"
"positive","Huge clearance selection, scored a few workout items for more then half off! 
Don't throw your free panty coupon ladies they take expired ones."
"positive","With the price and location it is a steal!!  Of course the beds aren't as comfy as the next hotel on the strip, but for the price, whose to complain?!

I've always gotten a corner room so it's VERY VERY LARGE, SO MUCH EXTRA SPACE, and I don't have to deal with an extra set of neighbors for the weekend =P.

Another plus is that RIGHT OUTSIDE is the place with the yard long margaritas!! JACKPOT!! =D"
"positive","I visited The Groves Bar and Grill in Gilbert, AZ with my husband and friend on a Friday night. We were greeted by a hostess who seated us promptly. There was some enjoyable live music playing when we arrived but unfortunately it ended shortly after our arrival (just after 9pm). 

Our server was friendly, but shared that it was only his 4th day, so he wasn't as knowledgeable about the menu as we would have hoped. We started with the chips and salsa; pretty basic, but not bad. My friend and I ordered the ""Backpacker"" pizza. The menu indicated that one of the toppings was kalamata olives. We asked the server to only put the olives on one half, when it came out there were just plain green olives on half (and we later realized that we had been charged $1 to ""add olives""). We asked our server if the 12"" pizza was a ""two-person"" pizza and he recommended that we go with the 16"" saying we might even have some leftovers. The pizza came LOADED with tons of fresh veggies, but after 2 pieces each, we were stuffed and ended up taking half of it home. The 12"" would have been plenty. The pizza crust was light and fluffy. The fresh veggies could have been cut up smaller; they were quite large and made eating the pizza a bit more work, but overall the pizza was delicious!
 
My husband wasn't hungry when we went, so he got the Chicken Fried Steak to go. He ordered it with a baked potato; it also came with broccoli and a nice sized side salad. The balsamic vinaigrette dressing was good. Good size portions. He said it was alright, probably would have been better if he would have eaten it in the restaurant, rather than to-go. Overall, our server was extremely friendly and attentive, often checking in with us to see how our food was and if we needed drink refills.  The owner stopped by our table and encouraged us to check out the outside patio area. The patio area outside looked really nice; we may have to sit out there next time we visit. Overall experience was very good; we'll definitely go back!"
"positive","Love it! Really into vintage rock and they played all the hits. Bon Jovi , KISS, Pink Floyd, AC/DC and so much more."
