CommodityCode,CommodityDescription,MarketYear,CalendarYear,Month,AttributeDescription,UnitDescription,Value
0577400,"Almonds, Shelled Basis        ",2011,2017,10,Beginning Stocks,(MT)                ,115194.0
0577400,"Almonds, Shelled Basis        ",2011,2017,10,Production,(MT)                ,920793.0
0577400,"Almonds, Shelled Basis        ",2011,2017,10,Exports,(MT)                ,615966.0
0577400,"Almonds, Shelled Basis        ",2011,2017,10,Domestic Consumption,(MT)                ,275186.0
0577400,"Almonds, Shelled Basis        ",2011,2017,10,Ending Stocks,(MT)                ,152059.0
0577400,"Almonds, Shelled Basis        ",2011,2017,10,Total Distribution,(MT)                ,1043211.0
0577400,"Almonds, Shelled Basis        ",2012,2018,10,Beginning Stocks,(MT)                ,152059.0
0577400,"Almonds, Shelled Basis        ",2012,2018,10,Production,(MT)                ,857290.0
0577400,"Almonds, Shelled Basis        ",2012,2018,10,Exports,(MT)                ,581090.0
0577400,"Almonds, Shelled Basis        ",2012,2018,10,Domestic Consumption,(MT)                ,302260.0
0577400,"Almonds, Shelled Basis        ",2012,2018,10,Ending Stocks,(MT)                ,143891.0
0577400,"Almonds, Shelled Basis        ",2012,2018,10,Total Distribution,(MT)                ,1027241.0
0577400,"Almonds, Shelled Basis        ",2013,2018,10,Beginning Stocks,(MT)                ,143891.0
0577400,"Almonds, Shelled Basis        ",2013,2018,10,Production,(MT)                ,911720.0
0577400,"Almonds, Shelled Basis        ",2013,2018,10,Exports,(MT)                ,606408.0
0577400,"Almonds, Shelled Basis        ",2013,2018,10,Domestic Consumption,(MT)                ,305580.0
0577400,"Almonds, Shelled Basis        ",2013,2018,10,Ending Stocks,(MT)                ,159013.0
0577400,"Almonds, Shelled Basis        ",2013,2018,10,Total Distribution,(MT)                ,1071001.0
0577400,"Almonds, Shelled Basis        ",2014,2018,10,Beginning Stocks,(MT)                ,159013.0
0577400,"Almonds, Shelled Basis        ",2014,2018,10,Production,(MT)                ,848220.0
0577400,"Almonds, Shelled Basis        ",2014,2018,10,Exports,(MT)                ,575700.0
0577400,"Almonds, Shelled Basis        ",2014,2018,10,Domestic Consumption,(MT)                ,274851.0
0577400,"Almonds, Shelled Basis        ",2014,2018,10,Ending Stocks,(MT)                ,170829.0
0577400,"Almonds, Shelled Basis        ",2014,2018,10,Total Distribution,(MT)                ,1021380.0
0577400,"Almonds, Shelled Basis        ",2015,2019,10,Beginning Stocks,(MT)                ,170829.0
0577400,"Almonds, Shelled Basis        ",2015,2019,10,Production,(MT)                ,861830.0
0577400,"Almonds, Shelled Basis        ",2015,2019,10,Exports,(MT)                ,577127.0
0577400,"Almonds, Shelled Basis        ",2015,2019,10,Domestic Consumption,(MT)                ,283064.0
0577400,"Almonds, Shelled Basis        ",2015,2019,10,Ending Stocks,(MT)                ,186881.0
0577400,"Almonds, Shelled Basis        ",2015,2019,10,Total Distribution,(MT)                ,1047072.0
0577400,"Almonds, Shelled Basis        ",2016,2019,10,Beginning Stocks,(MT)                ,186881.0
0577400,"Almonds, Shelled Basis        ",2016,2019,10,Production,(MT)                ,970690.0
0577400,"Almonds, Shelled Basis        ",2016,2019,10,Exports,(MT)                ,651497.0
0577400,"Almonds, Shelled Basis        ",2016,2019,10,Domestic Consumption,(MT)                ,337296.0
0577400,"Almonds, Shelled Basis        ",2016,2019,10,Ending Stocks,(MT)                ,180837.0
0577400,"Almonds, Shelled Basis        ",2016,2019,10,Total Distribution,(MT)                ,1169630.0
0577400,"Almonds, Shelled Basis        ",2017,2019,10,Beginning Stocks,(MT)                ,180837.0
0577400,"Almonds, Shelled Basis        ",2017,2019,10,Production,(MT)                ,1029650.0
0577400,"Almonds, Shelled Basis        ",2017,2019,10,Exports,(MT)                ,696189.0
0577400,"Almonds, Shelled Basis        ",2017,2019,10,Domestic Consumption,(MT)                ,366202.0
0577400,"Almonds, Shelled Basis        ",2017,2019,10,Ending Stocks,(MT)                ,162846.0
0577400,"Almonds, Shelled Basis        ",2017,2019,10,Total Distribution,(MT)                ,1225237.0
0577400,"Almonds, Shelled Basis        ",2018,2019,10,Beginning Stocks,(MT)                ,162846.0
0577400,"Almonds, Shelled Basis        ",2018,2019,10,Production,(MT)                ,1034190.0
0577400,"Almonds, Shelled Basis        ",2018,2019,10,Exports,(MT)                ,691294.0
0577400,"Almonds, Shelled Basis        ",2018,2019,10,Domestic Consumption,(MT)                ,376003.0
0577400,"Almonds, Shelled Basis        ",2018,2019,10,Ending Stocks,(MT)                ,144387.0
0577400,"Almonds, Shelled Basis        ",2018,2019,10,Total Distribution,(MT)                ,1211684.0
0011000,"Animal Numbers, Cattle        ",2007,2019,10,Total Slaughter,(1000 HEAD)         ,35209.0
0011000,"Animal Numbers, Cattle        ",2007,2019,10,Inventory Balance,(1000 HEAD)         ,-538.0
0011000,"Animal Numbers, Cattle        ",2007,2019,10,Slaughter to Inventory,(PERCENT)           ,36.0
0011000,"Animal Numbers, Cattle        ",2007,2019,10,Slaughter to Total Supply,(PERCENT)           ,26.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,94081.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9087.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Beef Cows Beg. Stocks,(1000 HEAD)         ,31440.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Production (Calf Crop),(1000 HEAD)         ,35740.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Total Imports,(1000 HEAD)         ,2284.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Total Supply,(1000 HEAD)         ,132105.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Cow Slaughter,(1000 HEAD)         ,6542.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Calf Slaughter,(1000 HEAD)         ,917.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Other Slaughter,(1000 HEAD)         ,27865.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Loss,(1000 HEAD)         ,3803.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Total Distribution,(1000 HEAD)         ,132105.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Inventory Balance,(1000 HEAD)         ,-1194.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Inventory Change,(PERCENT)           ,-1.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Cow Change,(PERCENT)           ,-1.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Production Change,(PERCENT)           ,-1.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Production to Cows,(PERCENT)           ,88.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Slaughter to Inventory,(PERCENT)           ,38.0
0011000,"Animal Numbers, Cattle        ",2010,2020,07,Slaughter to Total Supply,(PERCENT)           ,27.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,92887.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9156.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Beef Cows Beg. Stocks,(1000 HEAD)         ,30913.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Production (Calf Crop),(1000 HEAD)         ,35357.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Total Imports,(1000 HEAD)         ,2107.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Total Supply,(1000 HEAD)         ,130351.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Cow Slaughter,(1000 HEAD)         ,6819.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Calf Slaughter,(1000 HEAD)         ,885.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Other Slaughter,(1000 HEAD)         ,27404.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Loss,(1000 HEAD)         ,3889.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Total Distribution,(1000 HEAD)         ,130351.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Inventory Balance,(1000 HEAD)         ,-1727.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Inventory Change,(PERCENT)           ,-2.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Cow Change,(PERCENT)           ,-1.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Production Change,(PERCENT)           ,-1.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Production to Cows,(PERCENT)           ,88.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Slaughter to Inventory,(PERCENT)           ,38.0
0011000,"Animal Numbers, Cattle        ",2011,2020,07,Slaughter to Total Supply,(PERCENT)           ,27.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9236.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Beef Cows Beg. Stocks,(1000 HEAD)         ,30282.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Production (Calf Crop),(1000 HEAD)         ,34469.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Total Imports,(1000 HEAD)         ,2283.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Total Supply,(1000 HEAD)         ,127912.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Total Exports,(1000 HEAD)         ,191.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Cow Slaughter,(1000 HEAD)         ,6551.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Other Slaughter,(1000 HEAD)         ,26521.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Total Slaughter,(1000 HEAD)         ,33873.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Loss,(1000 HEAD)         ,3753.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Total Distribution,(1000 HEAD)         ,127912.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Inventory Balance,(1000 HEAD)         ,-1065.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Cow Change,(PERCENT)           ,-1.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Production Change,(PERCENT)           ,-3.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Production to Cows,(PERCENT)           ,87.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Slaughter to Inventory,(PERCENT)           ,37.0
0011000,"Animal Numbers, Cattle        ",2012,2020,07,Slaughter to Total Supply,(PERCENT)           ,26.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,90095.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9221.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Cow Slaughter,(1000 HEAD)         ,6356.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Calf Slaughter,(1000 HEAD)         ,788.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Other Slaughter,(1000 HEAD)         ,26209.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Total Slaughter,(1000 HEAD)         ,33353.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Loss,(1000 HEAD)         ,4001.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Ending Inventories,(1000 HEAD)         ,88243.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Total Distribution,(1000 HEAD)         ,125758.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Inventory Balance,(1000 HEAD)         ,-1852.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Inventory Change,(PERCENT)           ,-2.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Cow Change,(PERCENT)           ,-2.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Production to Cows,(PERCENT)           ,87.0
0011000,"Animal Numbers, Cattle        ",2013,2020,07,Slaughter to Total Supply,(PERCENT)           ,27.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,88243.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9208.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Cow Slaughter,(1000 HEAD)         ,5469.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Calf Slaughter,(1000 HEAD)         ,591.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Other Slaughter,(1000 HEAD)         ,24797.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Total Slaughter,(1000 HEAD)         ,30857.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Loss,(1000 HEAD)         ,3985.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Ending Inventories,(1000 HEAD)         ,89173.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Total Distribution,(1000 HEAD)         ,124123.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Inventory Balance,(1000 HEAD)         ,930.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Inventory Change,(PERCENT)           ,1.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Cow Change,(PERCENT)           ,-2.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Production to Cows,(PERCENT)           ,88.0
0011000,"Animal Numbers, Cattle        ",2014,2020,07,Slaughter to Total Supply,(PERCENT)           ,25.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,89173.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9307.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Beef Cows Beg. Stocks,(1000 HEAD)         ,29337.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Production (Calf Crop),(1000 HEAD)         ,34087.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Total Imports,(1000 HEAD)         ,1984.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Total Supply,(1000 HEAD)         ,125244.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Total Exports,(1000 HEAD)         ,73.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Cow Slaughter,(1000 HEAD)         ,5234.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Calf Slaughter,(1000 HEAD)         ,476.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Other Slaughter,(1000 HEAD)         ,23610.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Loss,(1000 HEAD)         ,3963.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Total Distribution,(1000 HEAD)         ,125244.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Inventory Balance,(1000 HEAD)         ,2715.0
0011000,"Animal Numbers, Cattle        ",2015,2020,07,Inventory Change,(PERCENT)           ,3.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,91888.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9310.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Beef Cows Beg. Stocks,(1000 HEAD)         ,30166.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Production (Calf Crop),(1000 HEAD)         ,35063.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Total Imports,(1000 HEAD)         ,1708.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Total Supply,(1000 HEAD)         ,128659.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Total Exports,(1000 HEAD)         ,69.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Cow Slaughter,(1000 HEAD)         ,5512.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Calf Slaughter,(1000 HEAD)         ,513.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Other Slaughter,(1000 HEAD)         ,25164.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Total Slaughter,(1000 HEAD)         ,31189.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Loss,(1000 HEAD)         ,3776.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Ending Inventories,(1000 HEAD)         ,93625.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Total Distribution,(1000 HEAD)         ,128659.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Inventory Balance,(1000 HEAD)         ,1737.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Cow Change,(PERCENT)           ,2.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Production to Cows,(PERCENT)           ,89.0
0011000,"Animal Numbers, Cattle        ",2016,2020,07,Slaughter to Inventory,(PERCENT)           ,34.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,93625.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9346.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Beef Cows Beg. Stocks,(1000 HEAD)         ,31193.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Production (Calf Crop),(1000 HEAD)         ,35758.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Total Imports,(1000 HEAD)         ,1807.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Total Supply,(1000 HEAD)         ,131190.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Total Exports,(1000 HEAD)         ,193.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Cow Slaughter,(1000 HEAD)         ,5861.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Calf Slaughter,(1000 HEAD)         ,537.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Other Slaughter,(1000 HEAD)         ,26420.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Total Slaughter,(1000 HEAD)         ,32818.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Loss,(1000 HEAD)         ,3881.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Total Distribution,(1000 HEAD)         ,131190.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Inventory Balance,(1000 HEAD)         ,673.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Cow Change,(PERCENT)           ,3.0
0011000,"Animal Numbers, Cattle        ",2017,2020,07,Production Change,(PERCENT)           ,2.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Total Cattle Beg. Stks,(1000 HEAD)         ,94298.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Dairy Cows Beg. Stocks,(1000 HEAD)         ,9432.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Beef Cows Beg. Stocks,(1000 HEAD)         ,31466.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Production (Calf Crop),(1000 HEAD)         ,36313.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Total Imports,(1000 HEAD)         ,1899.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Total Supply,(1000 HEAD)         ,132510.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Total Exports,(1000 HEAD)         ,244.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Cow Slaughter,(1000 HEAD)         ,6270.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Calf Slaughter,(1000 HEAD)         ,604.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Other Slaughter,(1000 HEAD)         ,26830.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Total Slaughter,(1000 HEAD)         ,33704.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Loss,(1000 HEAD)         ,3757.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Ending Inventories,(1000 HEAD)         ,94805.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Total Distribution,(1000 HEAD)         ,132510.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Inventory Balance,(1000 HEAD)         ,507.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Cow Change,(PERCENT)           ,1.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Production to Cows,(PERCENT)           ,89.0
0011000,"Animal Numbers, Cattle        ",2018,2020,07,Slaughter to Inventory,(PERCENT)           ,36.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Total Beginning Stocks,(1000 HEAD)         ,62516.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Sow Beginning Stocks,(1000 HEAD)         ,6116.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Total Supply,(1000 HEAD)         ,185393.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Total Exports,(1000 HEAD)         ,137.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Sow Slaughter,(1000 HEAD)         ,3341.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Other Slaughter,(1000 HEAD)         ,105831.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Ending Inventories,(1000 HEAD)         ,68177.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Inventory Balance,(1000 HEAD)         ,5661.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Inventory Change,(PERCENT)           ,9.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Sow Change,(PERCENT)           ,1.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Production Change,(PERCENT)           ,7.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Slaughter to Inventory,(PERCENT)           ,175.0
0013000,"Animal Numbers, Swine         ",2007,2018,10,Slaughter to Total Supply,(PERCENT)           ,59.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Sow Beginning Stocks,(1000 HEAD)         ,6233.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Total Imports,(1000 HEAD)         ,9348.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Total Supply,(1000 HEAD)         ,192118.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Total Exports,(1000 HEAD)         ,97.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Sow Slaughter,(1000 HEAD)         ,3533.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Total Slaughter,(1000 HEAD)         ,116452.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Loss,(1000 HEAD)         ,8521.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Ending Inventories,(1000 HEAD)         ,67048.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Total Distribution,(1000 HEAD)         ,192118.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Production Change,(PERCENT)           ,2.0
0013000,"Animal Numbers, Swine         ",2008,2018,10,Production to Sows,(PERCENT)           ,18.38
0013000,"Animal Numbers, Swine         ",2008,2018,10,Slaughter to Inventory,(PERCENT)           ,171.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Total Beginning Stocks,(1000 HEAD)         ,67048.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Sow Beginning Stocks,(1000 HEAD)         ,6062.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Production (Pig Crop),(1000 HEAD)         ,114088.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Total Exports,(1000 HEAD)         ,21.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Sow Slaughter,(1000 HEAD)         ,3272.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Other Slaughter,(1000 HEAD)         ,110347.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Inventory Change,(PERCENT)           ,-4.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Sow Change,(PERCENT)           ,-3.0
0013000,"Animal Numbers, Swine         ",2009,2018,10,Production to Sows,(PERCENT)           ,18.82
0013000,"Animal Numbers, Swine         ",2009,2018,10,Slaughter to Total Supply,(PERCENT)           ,61.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Total Beginning Stocks,(1000 HEAD)         ,64687.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Sow Beginning Stocks,(1000 HEAD)         ,5850.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Production (Pig Crop),(1000 HEAD)         ,113128.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Total Imports,(1000 HEAD)         ,5749.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Total Supply,(1000 HEAD)         ,183564.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Other Slaughter,(1000 HEAD)         ,107268.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Total Slaughter,(1000 HEAD)         ,110260.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Loss,(1000 HEAD)         ,8564.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Production Change,(PERCENT)           ,-1.0
0013000,"Animal Numbers, Swine         ",2010,2018,10,Production to Sows,(PERCENT)           ,19.34
0013000,"Animal Numbers, Swine         ",2010,2018,10,Slaughter to Total Supply,(PERCENT)           ,60.0
0013000,"Animal Numbers, Swine         ",2011,2018,10,Total Beginning Stocks,(1000 HEAD)         ,64725.0
0013000,"Animal Numbers, Swine         ",2011,2018,10,Sow Beginning Stocks,(1000 HEAD)         ,5778.0
