"Date","Brand.Name.s.","Product.Description","Recall.Reason.Description","Company.Name"
"08/12/2020","MURRAY'S, JARLSBERG, DELI","Cheese Dip","Potential for Salmonella","Kroger Delta Division"
"08/12/2020","MURRAY'S, JARLSBERG, DELI","Cheese Dip","Potential for Salmonella","Kroger Mid-Atlantic"
"08/12/2020","MURRAY'S, JARLSBERG, DELI","Cheese Dip","Potential for Salmonella","Kroger"
"08/12/2020","MURRAY'S, JARLSBERG, DELI","Cheese Dip","Potential for Salmonella","Fred Meyer Stores"
"08/12/2020","MURRAY'S, JARLSBERG, DELI","Cheese Dip","Potential for Salmonella","Fry’s Food Stores"
"08/12/2020","MURRAY'S, JARLSBERG, DELI","Cheese Dip","Potential for Salmonella","Smith's"
"08/11/2020","Saddlin' Up, Spokane Produce","Salsa","Salmonella","Spokane Produce, Inc."
"08/10/2020","Progressive Produce LLC","Red and yellow onions","Potential to be contaminated with Salmonella","Progressive Produce LLC"
"08/09/2020","Wegmans","Valencia Oranges, two-pound bag of lemons, bulk lemons, and a variety of in-store produced seafood and restaurant foods items that contain fresh lemon","Potential to be contaminated with Listeria monocytogenes","Wegmans Food Markets, Inc."
"08/09/2020","Freshouse, Natures Promise, Fresh From the Start, Wegmans","Valencia Oranges, Lemons, Limes, Organic Limes, and Red B Potatoes","Potential to be contaminated with Listeria monocytogenes","Freshouse II, LLC"
"08/07/2020","Haven’s Kitchen","Golden Turmeric Tahini","Undeclared soy","Haven’s Kitchen"
"08/06/2020","Taylor Farms, Marketside","Diced onions, salads, stir fry and mirepoix","Salmonella","Taylor Farms Texas"
"08/06/2020","Giant Eagle","Onions and prepared products containing onions","Salmonella","Giant Eagle"
"08/04/2020","H-E-B","Blue Cheese Salmon Burgers","Undeclared wheat","H-E-B"
"08/01/2020","Thomson Premium, TLC Thomson International, Tender Loving Care, more","Red, Yellow, White and Sweet Yellow Onions","Potential to be contaminated with Salmonella","Thomson International, Inc."
"07/31/2020","Earth Grown","Vegan Non-Dairy Almond Based Frozen Desserts","Undeclared cashew","SmithFoods Inc."
"07/25/2020","Wellements","Iron Drops liquid Dietary Supplement and Iron Drops Sample liquid Dietary Supplement","Undeclared Milk","Wellements LLC"
"07/24/2020","UpSpring","""UpSpring Baby Iron + Immunity"" dietary supplements","Undeclared Milk","UpSpring LLC"
"07/24/2020","Whole Foods","Kouign-amann pastries","Undeclared Egg","Whole Foods Market"
"07/24/2020","Whole Foods","Chantilly Key Lime Tartlets","Undeclared almond","Whole Foods Market"
"07/21/2020","Hostess","Raspberry Zingers","Potential to contain mold","Hostess Brands LLC"
"07/18/2020","Giant Eagle","Dried Fruit Mix","Dried Fruit Mix","Giant Eagle, Inc."
"07/17/2020","Whole Foods","Spinach Artichoke Dip","Undeclared Egg","Winter Gardens Quality Foods, Inc."
"07/16/2020","Happy Colon","Shortbread Cookie & Chocolate Chip Cookie","Undeclared Milk","Happy Colon Foods, LLC"
"07/13/2020","Wegmans","Pecan Blend Trail Mix","Undeclared Almonds and Walnuts","Flagstone Foods, LLC"
"07/09/2020","Sundial","Herbal Products/Dietary Supplements","Misbranding & Unapproved New Drugs","Sundial Herbal Products"
"07/08/2020","KIND","Oats & Honey Granola with Toasted Coconut pouches","Undeclared sesame seeds","KIND Healthy Snacks"
"07/02/2020","Signature Farms","Garden Salad","Possible Cyclospora Contamination","Jewel-Osco"
"06/30/2020","Garland Ventures Ltd.","Five Cheese Stuffed Shells","Potential to be contaminated with Listeria monocytogenes","Garland Ventures Ltd."
"06/29/2020","Hy-Vee","Chopped Salad Kit, Shredded Iceberg and more","Possible Cyclospora Contamination","Hy-Vee Inc."
"06/29/2020","Fresh Express, Giant Eagle and more","Old fashioned coleslaw, 3 color deli coleslaw and more","Possible Cyclospora Contamination","Fresh Express"
"06/29/2020","Garlic Shrimp Poke","Garlic Shrimp Poke","Potential to be contaminated with Listeria monocytogenes","Norpac Fisheries Export"
"06/29/2020","Whole Foods Market","Red Velvet Cheesecake slices","Undeclared walnuts","Whole Foods Market"
"06/26/2020","Marketside","Classic Iceberg Salad","Possible Cyclospora Contamination","Fresh Express"
"06/25/2020","Enlightened","Chocolate Peanut Butter Ice Cream","May contain undeclared milk ingredients","Beyond Better Foods, LLC"
"06/23/2020","7-Select","Yogurt Pretzels","Undeclared Peanuts","Mount Franklin Foods"
"06/23/2020","Little Salad Bar","Garden Salad","Possible Cyclospora Contamination","ALDI"
"06/23/2020","Golden Nutrition Inc.","Anti-Viral Immune Enhancement Capsules","Unsubstantiated Health Claims on Label","Golden Nutrition Inc."
"06/22/2020","Flagstone Foods LLC","North Star Sweet & Salty Caramel Trail Mix","Undeclared Cashews","Flagstone Foods LLC"
"06/22/2020","Hy-Vee Inc.","Garden Salad, Bagged","Potential Cyclospora Contamination","Hy-Vee Inc."
"06/22/2020","Gordon Choice","Imitation Crab Supreme Style","May contain undeclared egg white","Trident Seafoods"
"06/19/2020","Fresh Express","Southwest Chopped Kit","Undeclared wheat, soy, cashews and coconut","Fresh Express"
"06/19/2020","Hill Country Fare","Pink Lemonade, Citrus Punch, Fruit Drink and Grape Drink","Undeclared Milk","H-E-B"
"06/12/2020","Captain Rusty’s","Undeclared fish, shellfish, wheat, eggs, soy, and milk","Undeclared fish, shellfish, wheat, eggs, soy, and milk","Rusty’s Seafood Market"
"06/12/2020","Now Real Food","Raw Macadamia Nuts","Potential Salmonella contamination","NOW Health Group, Inc."
"06/11/2020","Xi Zhi Liang","Konjac powder jelly cups","Potential choking hazard","Rong Shing Trading NY Inc."
"05/26/2020","Johnson Sea Products","Crab cakes","Undeclared wheat and soy","Johnson Sea Products"
"05/21/2020","Radhuni","Curry Powder","Salmonella","New Hoque and Sons, Inc."
"05/15/2020","Wegmans","Semi-Sweet Chocolate nonpareils","Undeclared Milk","MELLACE FAMILY BRANDS CALIFORNIA INC."
"05/14/2020","Peekaboo","Mint Chocolate Chip with Hidden Spinach Ice Cream","Potential to be contaminated with Listeria monocytogenes","Ramar Foods"
"05/11/2020","Wild Harvest","Organic Fresh Basil","Contaminated by Cyclospora cayetanensis","United Natural Foods, Inc."
"05/08/2020","Pluckers World Famous Wing Sauce","Bottled Wing Sauces","Undeclared Allergens (Milk, Soy, and/or Wheat)","Zilk's Plus Resources, LLC"
"05/05/2020","The Essential Baking Company","Sliced Columbia Bread","Undeclared Egg","The Essential Baking Company"
"05/04/2020","OPTAVIA","Essential Old Fashioned Maple & Brown Sugar Oatmeal","Undeclared Milk","Medifast, Inc."
"05/01/2020","Nabisco","Ritz crackers","Undeclared peanut","Mondelez Global LLC"
"04/29/2020","Condies Foods","Chicken salad sandwiches","Undeclared soy","Condies Foods"
"04/28/2020","Benefiber","Prebiotic Fiber Supplement","Potential for plastic pieces or shavings","GSK Consumer Healthcare"
"04/22/2020","Royal International Trading Inc.","""TAINY BOCTOKA DRY FRUITS MIX COMPOT APPLE""","Undeclared Sulfites","Royal International Trading Inc."
"04/21/2020","Ocean Spray","Pink Lite Cranberry Juice Drink","Undeclared Sulfites","Ocean Spray Cranberries, Inc."
"04/21/2020","Buckhead Meat and Seafood of Houston, Inc.","Frozen Flounder Stuffed with Seafood","Undeclared wheat, soy, milk, fish, and eggs","Buckhead Meat and Seafood of Houston, Inc., a Sysco Company"
"04/17/2020","Homestead Creamery","Unsalted Butter","Potential to be contaminated with Listeria monocytogenes","Homestead Creamery Inc."
"04/16/2020","Whole Foods Market","Queso Sauce","Undeclared cashews","Whole Foods Market"
"04/15/2020","Clover Valley®","Iced Oatmeal Cookies","Undeclared Milk and Tree Nuts","Dollar General Corporation"
"04/14/2020","Sun Hong Foods","Enoki Mushrooms","Potential to be contaminated with Listeria monocytogenes","Sun Hong Foods, Inc."
"04/14/2020","Guan's Mushroom Co.","Enoki Mushroom","Potential Listeria monocytogenes","Guan's Mushroom Co."
"04/14/2020","H&C Food Inc.","Enoki mushrooms","Potential to be contaminated with Listeria monocytogenes","H&C Food Inc."
"04/13/2020","Kodiak Cakes","Blueberry Chia Energy Waffles","Undeclared milk","Kodiak Cakes"
"04/13/2020","DSD Merchandisers, Inc.","Roasted/Salted Deluxe Mixed Nuts","Undeclared peanut","DSD Merchandisers, Inc."
"04/10/2020","Starwest Botanicals","Organic cardamom whole green pods","Potential to be contaminated with salmonella","Starwest Botanicals"
"04/10/2020","Wegmans","Thai Sweet Chili Sauce Cup","Undeclared egg","Wegmans Food Markets, Inc."
"04/10/2020","IDLife","Protein bars, Snack bars, Kids bars","Undeclared Allergens (peanuts, almonds, almonds coconut oil)","IDLife, LLC"
"04/10/2020","Ciolo Foods","Nut Free Basil Pesto","Undeclared tree nuts (Pine Nuts and Walnuts)","Ciolo Foods"
"04/10/2020","Whole Foods Market","Minestrone Soup","Undeclared milk","Whole Foods Market"
"04/09/2020","Midwest Northern Nut","Nut and Seed Snack Mixes","Undeclared peanuts and various tree nuts","Midwest Northern Nut"
"04/09/2020","Kraken Kratom, Soul Speciosa, and Phytoextractum","Kratom Powder","Potential to be contaminated with salmonella","PDX Aromatics DBA Kraken Kratom, Phytoextractum, and Soul Speciosa"
"04/09/2020","Natural Grocers","Coconut Smiles Organic","Potential to be contaminated with Salmonella","Vitamin Cottage Natural Food Markets, Inc."
"04/09/2020","The Maiden’s Creamery","Raw Goat Milk Cheese","Potential to be contaminated with Listeria monocytogenes","Good Fields Farm / The Maidens Creamery"
"04/09/2020","Haggen","Deli products","Potential to be contaminated with salmonella","Haggen"
"04/09/2020","Southgate","Hot Dog Chili Sauce","Undeclared Wheat and Eggs","Vietti Foods"
"04/09/2020","Schwartz Brothers Bakery","Cream Cheese Cinnamon Rolls","Undeclared egg","Schwartz  Brothers Bakery of Seattle"
"04/09/2020","River Valley Sprouts","Alfalfa Sprouts","Potential to be contaminated with Salmonella","River Valley Sprouts"
"04/09/2020","Oregon Food Bank","Chia Seeds","May be contaminated with rodent droppings","Oregon Food Bank"
"04/09/2020","Organic Go Smile!","Raw Coconut","Potential of Salmonella","International Harvest, Inc"
"04/09/2020","Oregon Food Bank","Pumpkin Seeds","Potential to be contaminated with Listeria species","Oregon Food Bank"
"04/09/2020","Izzy's Ice Cream","Maple Nut Ice Cream","Undeclared peanut","Izzy's Ice Cream, LLC"
"04/08/2020","Weis","Cole Slaw","Undeclared Egg","Weis Markets"
"04/07/2020","Kraken Kratom, Phytoextractum, & Soul Speciosa","White vein powder & capsule red vein powder products","Potential to be contaminated with salmonella","PDX Aromatics"
"04/07/2020","King Arthur","Organic Coconut Flour","Potential to be contaminated with salmonella","King Arthur Flour Company"
"04/07/2020","Kitchen's Cravings","Egg Salad Sandwich","Undeclared Fish or Shellfish","Kwik Trip, Inc."
"04/07/2020","Buenas","Grated coconut","Salmonella","Global Commodities Corporation"
"04/07/2020","Mrs. Gerry's, Open Acres, Festival, Knowlan's and Market Fresh","Egg Salads and Potato Salads","Undeclared Seafood-fish and shellfish","Mrs. Gerry's Kitchen Inc."
"04/07/2020","EXO","Blueberry vanilla, peanut butter & jelly, and apple cinnamon cricket protein bars","Undeclared Sulfites","Aspire Food Group"
"04/07/2020","La Marinera","Dried Yellow Potatoes","Undeclared Sulfites","Guixens Food Group, Inc."
"04/07/2020","Whole Foods Market","Decorated (iced) cookies","Undeclared egg","Whole Foods Market"
"04/07/2020","eBars","Energy Bars","Undeclared peanut and/or almond","eBars LLC"
"04/07/2020","Formagere de la Brie","Cheese","Potential to be contaminated with Listeria monocytogenes","Seacrest Foods International, Inc."
"04/07/2020","Advocare","Muscle Strength and Nighttime Recovery dietary supplements","Undeclared milk","Advocare International"
"04/07/2020","Archer Farms, Ben & Jerry’s, Breyers, C&W","Various frozen items","May be contaminated by spoilage organisms or pathogens","Target Corporation"
"04/07/2020","Food Service, H. Brooks, H. Brooks-Taste Buds, and Supervalu - Cub Quick & Easy","Bruschetta Dip and Bruschetta Mix","Undeclared Soy and Milk","Cut Fruit Express Inc."
"04/07/2020","Bob's Red Mill","Organic Amaranth Flour","Salmonella","Bob's Red Mill Natural Foods"
"04/07/2020","Healthy Nut Factory","Organic Coconut Smiles","Potential to be contaminated with salmonella","The Health Nuts"
"04/07/2020","Four J","Charred Tomato & Basil Sauce","Undeclared Soy, Wheat and Fish","Cookwell & Company"
"04/07/2020","Stewart's","Ice Cream","Undeclared peanut","Stewart's Shops Corp"
"04/07/2020","Wegmans","Yogurt Raisins","Undeclared peanut","First Source, LLC"
"04/07/2020","Explorateur","Triple crème cheese","Potential to be contaminated with Listeria monocytogenes.","Whole Foods Market"
"04/06/2020","Various: Pain Out, Nirvanio, Cali","various kratom dietary supplements","Salmonella","NutriZone, LLC"
"04/06/2020","Budget $aver","Ice pops","Listeria","Ziegenfelder Company"
"04/06/2020","Herbal-Salvation","Kratom containing powder products","Salmonella","Viable Solutions"
"04/06/2020","Giant Eagle, Market District and GetGo","items prepared with romaine lettuce","Due to Potential E. coli Contamination","Giant Eagle, Inc."
"04/06/2020","Simply Superior, Morey’s","Smoked Salmon Spreads","Listeria","Superior Foods Company"
"04/06/2020","Labrada","""LeanPro8"" Protein Powder","Allergen - Eggs","Labrada Nutrition"
"04/06/2020","NXTGEN","Kratom dietary supplement","Salmonella","NGB Corp"
"04/06/2020","Publix, Sunups, more","Shell eggs","Eggs","Cal-Maine Foods, Inc."
"04/06/2020","Formagerie de la Brie brand","l’Explorateur soft ripened cheese","Listeria","World’s Best Cheeses"
"04/06/2020","Eataly","Artichoke Spread","Allergen - Walnuts","Eataly USA"
"04/06/2020","Greenbelt Microgreens","Microgreen Mix","Potential to be contaminated with Listeria monocytogenes","Greenbelt Greenhouse LTD"
"03/31/2020","Stonewall Kitchen","Basil Pesto","Allergen - Milk and Eggs","Stonewall Kitchen"
"03/31/2020","Sugarfina","Sugar Cookies Products","Allergen - Eggs","Sugarfina, Inc."
"03/31/2020","Bombay Kitchen","Bhavnagri Mix","Undeclared peanut","Ethnic Foods Inc."
"03/31/2020","Golden Flake, Good Health, UTZ, Weis","Tortilla Chips","Undeclared milk","Quality Foods, LLC"
"03/31/2020","Dragon Kratom","Dietary Supplements","Salmonella","Maya Distribution, LLC"
"03/31/2020","Gerard Dominique","Wild Coho Smoked Salmon","Clostridium botulinum","Seabear Company"
"03/31/2020","Hickory Harvest, Heinens, and Liberty Snacks","ISLAND FRUIT MIX AND ORGANIC NUT MIX PRODUCTS","Listeria monocytogenes","Hickory Harvest Foods"
"03/30/2020","Ziyad","Tahini","Salmonella","Ziyad Brothers Importing"
"03/30/2020","Melanie","Liubitelskie Cookies","Undeclared peanut","Melanie Wholesale Inc."
"03/30/2020","Melanie","Mini Cookies with Caramel Flavor","Allergens: Peanuts","Melanie Wholesale Inc."
"03/30/2020","The Peruchef","Dry potato” and “Papa Seca Serrana""","Undeclared Sulfites","Mas Food Services Co."
"03/30/2020","Priano","Rosso Pesto Sauce","Allergen: Eggs and Milk","BLM Products U. Vertriebsges"
"03/30/2020","Golden International brand or none","Farm Raised Frozen whole tilapia fish IQF","Potential to be contaminated with salmonella","Golden International Corporation"
"03/30/2020","Snak Club","Tropical Trail Mix","Allergens: Milk, Soy, Wheat, and Cashews","Century Snacks LLC"
"03/27/2020","Meijer","Dill Pickle Flavored Potato Chips","Undeclared milk","Shearer’s Foods, LLC"
"03/27/2020","SDQ Trading","Cheese biscuits","Undeclared milk","SDQ Trading Inc."
"03/27/2020","H-E-B","Sliced Salad Olives","Potential Glass in The Product","H-E-B"
"03/27/2020","Divvies","Benjamint Chocolate Bars","Undeclared milk","Divvies, LLC"
"03/27/2020","EconoMax, Hill Country Fare, Creamy Creations","Ice cream and sherbet","Foreign material-metal","HEB"
"03/27/2020","Sanders Candy","Fudge Bites","Undeclared almonds","Sanders Candy"
"03/27/2020","Caito Food, Renaissance Food Group, Open Acres, more","Fresh cut cantaloupe, honeydew melon, watermelon, more","Salmonella","Caito Foods"
"03/26/2020","Whole Foods Market","Vodka Sauce","Undeclared Milk","Winter Gardens Quality Foods, Inc."
"03/25/2020","Now Real Food","Zesty Sprouting Mix","Potential Salmonella contamination","Now Health Group, Inc."
"03/25/2020","Kellogg’s","Honey Smacks cereal","Salmonella","Kellogg Company"
"03/25/2020","ALREEF","Dried Apricots Sour","Undeclared Sulfites","Golden Star Wholesale"
"03/25/2020","Melissa's Spicy Edamame","Spicy Edamame","Undeclared Shellfish","World Variety Produce, Inc."
"03/25/2020","Del Monte","Vegetable Trays","Cyclospora","Del Monte Fresh Produce N.A., Inc."
"03/25/2020","Honey Mama’s","Oregon Peppermint Cacao Nectar Bar","Undeclared almonds","Nectar Foods Inc DBA Honey Mama’s"
"03/24/2020","Whole Foods Market","Oatmeal Cookies","Allergen: Soybean","Whole Foods Market"
"03/24/2020","Seattle Sourdough Baking Company, Franz","Seattle Sourdough Pub Buns, Franz Premium Pub Buns","May contain undeclared soy","Portland French Bakery"
"03/24/2020","AnnaSea","Wasabi Ahi Poke Hawaiian Poke Kits, Limu Ahi Poke Hawaiian Poke Kits.","Incorrect Storage","ALDI"
"03/24/2020","May Flower International Inc.","3+2 Soda Crackers","Undeclared Milk Allergens","May Flower International Inc."
"03/24/2020","Pictsweet Farms","Steam’ables Baby Brussels Sprouts","Allergen: Milk, Soybean","The Pictsweet Company"
"03/24/2020","H-E-B","Creamy Creations ice creams and sherbets","Due to broken metal in processing equipment","H-E-B"
"03/24/2020","Hy-Vee","Spring Pasta Salad","May be contaminated with Salmonella","Hy-Vee"
"03/24/2020","United States Bakery","Hamburger Buns","Undeclared milk","United States Bakery"
"03/24/2020","King Soopers, Smith’s and more","Salads","Undeclared peanut","Papa John’s Salads and Produce"
"03/24/2020","Utz®","Carolina Style Barbeque Potato Chips","due to undeclared soy","Utz® Quality Foods, LLC"
"03/24/2020","Huangfushanzen Huang Mountain Tea Mushroom","Dried Mushrooms","Undeclared Sulfites","Tiffany Food Corporation"
"03/23/2020","Sherman Candy Co.","Sherman Candy Caramels sold in gift baskets","May contain undeclared pecans, walnuts, almonds and/or peanuts","Gift Services, Inc. dba GiftTree"
"03/23/2020","Mrs. Freshley's, Food Lion, Captain John Derst's, more","Swiss Rolls and Bread","Salmonella","Flowers Foods, Inc."
"03/23/2020","Goldfish","Crackers","Potential to be contaminated with salmonella","Pepperidge Farm"
"03/23/2020","Sweet Earth","Aloha BBQ Quesadilla","Undeclared Egg and Milk","Sweet Earth Foods"
"03/23/2020","Best Taste","Snack Ginger Sliced","Undeclared Sulfites","Country Favor Inc."
"03/23/2020","Hostess","Cookies 'n Creme Brownies","Undeclared egg","Hostess Brands, LLC"
"03/23/2020","TeaSource","Loose Leaf Tea","Undeclared almonds","TeaSource"
"03/23/2020","Premo, Fresh Grab","Sandwiches","Potential to be contaminated with Listeria monocytogenes","Lipari Foods LLC"
"03/23/2020","Taco Bell","Salsa Con Queso Mild Cheese Dip","Potential growth of Clostridium botulinum (C. botulinum)","Kraft Heinz"
"03/20/2020","Salt & Straw","Chocolate Gooey Brownie Ice Cream","Salt & Straw Voluntarily Recalls Certain Lots of Chocolate Gooey Brownie Ice Cream Pints Due to Possible Undeclared Peanuts","Salt & Straw Ice Cream"
"03/20/2020","Marsee Baking","Cookies","Allergen: Peanuts","Marsee Foods Inc. dba Marsee Baking"
"03/20/2020","Premo Brand","Turkey and Cheese Wedge Sandwiches","Potential to be contaminated with Listeria monocytogenes","Lipari Foods, LLC"
"03/20/2020","Lindt","85% Cocoa chocolate bars","Undeclared milk and soy","Lindt & Sprüngli"
"03/19/2020","H&C Food Inc","Frozen Fish Balls & Fuzhou Fish Balls","H&C Food Inc. Issues Allergy Alert on Undeclared Wheat, Pork, Egg, and Crustacean in Frozen Fish Balls","H&C Food Inc"
"03/19/2020","Gravel Ridge Farms","Cage Free Eggs","Due to Potential Presence of Salmonella","Gravel Ridge Farms"
"03/19/2020","Meijer","Taco Seasoning Mix 4.5 OZ Bottle","Undeclared milk","McCormick & Company, Inc"
"03/19/2020","Gourmet Take Away","Sesame Noodle Salad","Undeclared egg","Market of Choice"
"03/19/2020","Sarap Asian Fusion","Asian fusion cookies","Undeclared allergens wheat, milk and soy","Sarap Asian Fusion"
"03/19/2020","MyoWhey","Chocolate Cookie Crunch dietary supplement","Undeclared Milk and Soy","Purus Labs, Inc."
"03/17/2020","Mauna Loa","Macadamia Nuts","Due to a potential contamination of Escherichia coli (E. coli)","Mauna Loa Macadamia Nut Corporation"
"03/17/2020","365 Everyday Value","Tortilla Chips","Undeclared milk","Whole Foods Market"
"03/17/2020","Ukrops","Baked Potatoes with Cheddar Cheese and Bacon","Undeclared eggs, cheese, bacon","Ukrops Homestyle Foods"
"03/17/2020","Smartfood Delight","Sea Salt Flavored popcorn","Undeclared Milk","Frito-Lay"
"03/17/2020","Working Cow Homemade Ice Cream","No Sugar Added Ice Cream (Vanilla; Chocolate flavors)","Listeria monocytogenes","Working Cow Homemade Ice Cream, Inc."
"03/17/2020","Mini Roll","Mini roll food treat","Undeclared egg","Apollo Food International Inc."
"03/17/2020","S&W","White Beans","Undeclared Sulfites","Faribault Foods, Inc."
"03/17/2020","Margie","Pasteurized Cow’s Milk Cheese","Improper Pasteurization","Sprout Creek Farm Inc."
"03/17/2020","Forager","Plant Protein Shake","Undeclared almonds","Forager Project"
"03/17/2020","Du Sud","Seedless Raisins","Undeclared sulfites","P. East Trading Corp."
"03/17/2020","Sweet Me Creamery","Ice Cream","Undeclared Peanuts","Kemps"
"03/17/2020","Cedar’s","Chickpea Salad","Undeclared Soy","Cedar’s Mediterranean Foods"
"03/17/2020","Fred Meyer Bakery","Angel Food Cake Bar","Undeclared Allergens milk and soy","Clackamas Bakery"
"03/17/2020","feel good foods","Vegetable Fried Rice frozen meal","Undeclared egg","Feel Good Foods Inc."
"03/17/2020","Sugar Melon Candy/Wax Gourd","Sugar Melon Candy/Wax Gourd","Undeclared Sulfites","SLR Food Distribution Inc."
"03/17/2020","Corrado, Orlando Imports, Nouri’s, more","Curry powder","Due to Elevated Lead","Office of Regulatory Affairs"
"03/17/2020","Stewart’s Shops","Cranberry Apple Refresher drink","Undeclared milk","Stewart’s Shops Corp."
"03/17/2020","New Seasons","Hot & Sour Broth","Undeclared Soy","New Seasons Market"
"03/17/2020","Baraka","Curry powder","Due to Lead","UBC Food Distributors, Inc"
"03/16/2020","Chukar Cherries","Ultra Dark Chocolate Cherries","Undeclared Milk","Chukar Cherries"
"03/16/2020","Margie","Cheese 1 lb wheel","Potential to be contaminated with Listeria monocytogenes","Margie"
"03/16/2020","WEGMANS","Placek Coffee Cake, 11 oz. and 22 oz., and Pumpkin Loaf, 11 oz.","Undeclared milk","Wegmans Food Markets, Inc."
"03/16/2020","Best Taste","Dried Bamboo Shoot","Undeclared Sulfites","Country Favor Inc."
"03/16/2020","Chukar Cherries","Ultra Dark Chocolate products","Undeclared milk","Chukar Cherries"
"03/16/2020","Jay Robb","Egg White Protein","Undeclared Milk","Jay Robb Enterprises"
"03/16/2020","Pictsweet Farms","Asparagus Spears","Potential to be contaminated with Listeria monocytogenes","The Pictsweet Company"
"03/16/2020","AFC Distribution Corp.","Cooked Butterfly Tail-On Whiteleg Shrimp (Sushi Ebi)","Potential to be contaminated with Vibrio parahaemolyticus","AFC Distribution Corp."
"03/16/2020","Wegmans","Ginger Salmon Oven Safe Meal and Salmon Teriyaki Oven Safe Meal","Undeclared wheat","Raw Seafoods, Inc"
"03/16/2020","Chicago Indoor Garden","Red Clover Sprouts, Sprout Salad, Mixed Greens, Spring Salad","Presence of E. coli 0103","Chicago Indoor Garden"
"03/13/2020","WinCo","Frozen Blackberries and Frozen Berry Medley","Norovirus","WinCo Foods, LLC"
"03/12/2020","Chukar Cherries","Amaretto Rainier Chocolate Cherries","Undeclared milk","Chukar Cherries"
"03/12/2020","Cap’n Crunch’s","Peanut Butter Crunch Cereal","Due to Potential Presence of Salmonella","The Quaker Oats Company"
"03/12/2020","Tres Hermanos Bakery","Bread","Undeclared milk","Tres Hermanos Bakery"
"03/12/2020","Imperial Taste","Fried Red Onions and Fried Garlic","Due to Undeclared Wheat","Gemini Food Corporation"
"03/11/2020","Northwest Cuisine Creations, Fresh&Local","Sandwiches","May be contaminated with Escherichia coli O157:H7 bacteria (E. Coli O157:H7).","Spokane Produce, Inc."
"03/11/2020","Hiland","Half-gallon premium whole milk chocolate","Undeclared egg","Hiland Dairy"
"03/11/2020","Moonstruck","Sea Salt Caramels Tumbled In Milk Chocolate","Undeclared hazelnuts","Moonstruck Chocolate Company"
"03/11/2020","Home Fresh Foods","Suya Barbecue Seasoning","Undeclared Peanuts","Accra Super Market"
"03/11/2020","Achdut, Baron's, S&F, Pepperwood and others","Tahini","Potential Contamination by Salmonella","Achdut LTD."
"03/11/2020","Kitchen Cravings","Strawberry and Mixed Berry Parfaits","Undeclared cashews or almonds.","Kwik Trip, Inc."
"03/11/2020","Under processing","Seasoned corn","Due to Under Processing","Del Monte Foods, Inc."
"03/11/2020","Fine Land Corp.","Meiqili Durian Candy","Undeclared Milk","Fine Land Corp."
"03/11/2020","Pero Family Farms","Zucchini Spiral Pesto Side Dish Kit","Undeclared egg and milk","Pero Family Farms Food Company, LLC"
"03/10/2020","Adam Bros. Family Farms","Red leaf lettuce, green leaf lettuce, and cauliflower","May be contaminated with Escherichia coli O157:H7 bacteria (E. Coli O157:H7).","Adam Bros. Farming, Inc."
"03/10/2020","Greens & Grains","Hummus and Quinoa Tabouleh Wrap","Undeclared Soy","Atherstone Foods Inc."
